BRAZIL,"Brazil (Portuguese: Brasil; Brazilian Portuguese: [bɾaˈziw] (listen)),[nt 1] officially the Federative Republic of Brazil (Portuguese: República Federativa do Brasil),[9] is the largest country in South America and in Latin America. At 8.5 million square kilometers (3,300,000 sq mi)[10] and with over 217 million people, Brazil is the world's fifth-largest country by area and the seventh most populous. Its capital is Brasília, and its most populous city is São Paulo. The federation is composed of the union of the 26 states and the Federal District. It is the only country in the Americas to have Portuguese as an official language.[11][12] It is one of the most multicultural and ethnically diverse nations, due to over a century of mass immigration from around the world,[13] and the most populous Roman Catholic-majority country. Bounded by the Atlantic Ocean on the east, Brazil has a coastline of 7,491 kilometers (4,655 mi).[14] It borders all other countries and territories in South America except Ecuador and Chile and covers roughly half of the continent's land area.[15] Its Amazon basin includes a vast tropical forest, home to diverse wildlife, a variety of ecological systems, and extensive natural resources spanning numerous protected habitats.[14] This unique environmental heritage positions Brazil at number one of 17 megadiverse countries, and is the subject of significant global interest, as environmental degradation through processes like deforestation has direct impacts on global issues like climate change and biodiversity loss."
BRAZIL,"The territory which would become known as Brazil was inhabited by numerous tribal nations prior to the landing in 1500 of explorer Pedro Álvares Cabral, who claimed the discovered land for the Portuguese Empire. Brazil remained a Portuguese colony until 1808 when the capital of the empire was transferred from Lisbon to Rio de Janeiro. In 1815, the colony was elevated to the rank of kingdom upon the formation of the United Kingdom of Portugal, Brazil and the Algarves. Independence was achieved in 1822 with the creation of the Empire of Brazil, a unitary state governed under a constitutional monarchy and a parliamentary system. The ratification of the first constitution in 1824 led to the formation of a bicameral legislature, now called the National Congress. Slavery was abolished in 1888. The country became a presidential republic in 1889 following a military coup d'état. An authoritarian military junta came to power in 1964 and ruled until 1985, after which civilian governance resumed. Brazil's current constitution, formulated in 1988, defines it as a democratic federal republic. Due to its rich culture and history, the country ranks thirteenth in the world by number of UNESCO World Heritage Sites. A major non-NATO ally of the United States, Brazil is a regional and middle power, and is also classified as an emerging power. Categorised as developing country with a high Human Development Index, Brazil is considered an advanced emerging economy, having the twelfth largest GDP in the world by nominal, and ninth by PPP measures, the largest in Latin America. As an upper-middle income economy by the World Bank and a newly industrialized country, Brazil has the largest share of global wealth in South America and it is one of the world's major breadbaskets, being the largest producer of coffee for the last 150 years. However, the country retains noticeable corruption, crime and social inequality. Brazil is a founding member of the United Nations, the G20, BRICS, Mercosul, Organization of American States, Organization of Ibero-American States and the Community of Portuguese Language Countries."
BRAZIL,"The word ""Brazil"" likely comes from the Portuguese word for brazilwood, a tree that once grew plentifully along the Brazilian coast. In Portuguese, brazilwood is called pau-brasil, with the word brasil commonly given the etymology ""red like an ember,"" formed from brasa (""ember"") and the suffix -il (from -iculum or -ilium). As brazilwood produces a deep red dye, it was highly valued by the European textile industry and was the earliest commercially exploited product from Brazil. Throughout the 16th century, massive amounts of brazilwood were harvested by indigenous peoples (mostly Tupi) along the Brazilian coast, who sold the timber to European traders (mostly Portuguese, but also French) in return for assorted European consumer goods. The official Portuguese name of the land, in original Portuguese records, was the ""Land of the Holy Cross"" (Terra da Santa Cruz), but European sailors and merchants commonly called it the ""Land of Brazil"" (Terra do Brasil) because of the brazilwood trade. The popular appellation eclipsed and eventually supplanted the official Portuguese name. Some early sailors called it the ""Land of Parrots."" In the Guaraní language, an official language of Paraguay, Brazil is called ""Pindorama"". This was the name the indigenous population gave to the region, meaning ""land of the palm trees."" Some of the earliest human remains found in the Americas, Luzia Woman, were found in the area of Pedro Leopoldo, Minas Gerais and provide evidence of human habitation going back at least 11,000 years.[41][42] The earliest pottery ever found in the Western Hemisphere was excavated in the Amazon basin of Brazil and radiocarbon dated to 8,000 years ago (6000 BC). The pottery was found near Santarém and provides evidence that the tropical forest region supported a complex prehistoric culture.[43] The Marajoara culture flourished on Marajó in the Amazon delta from AD 400 to 1400, developing sophisticated pottery, social stratification, large populations, mound building, and complex social formations such as chiefdoms."
BRAZIL,"Around the time of the Portuguese arrival, the territory of current day Brazil had an estimated indigenous population of 7 million people,[45] mostly semi-nomadic, who subsisted on hunting, fishing, gathering, and migrant agriculture. The indigenous population of Brazil comprised several large indigenous ethnic groups (e.g., the Tupis, Guaranís, Gês, and Arawaks). The Tupí people were subdivided into the Tupiniquins and Tupinambás, and there were also many subdivisions of the other groups. Before the arrival of the Europeans, the boundaries between these groups and their subgroups were marked by wars that arose from differences in culture, language and moral beliefs. These wars also involved large-scale military actions on land and water, with cannibalistic rituals on prisoners of war. While heredity had some weight, leadership was a status more won over time than assigned in succession ceremonies and conventions.[47] Slavery among the indigenous groups had a different meaning than it had for Europeans, since it originated from a diverse socioeconomic organization, in which asymmetries were translated into kinship relations. Following the 1494 Treaty of Tordesillas, the land now called Brazil was claimed for the Portuguese Empire on 22 April 1500, with the arrival of the Portuguese fleet commanded by Pedro Álvares Cabral.[52] The Portuguese encountered indigenous peoples divided into several ethnic societies, most of whom spoke languages of the Tupi–Guaraní family and fought among themselves.[53] Though the first settlement was founded in 1532, colonization effectively began in 1534, when King John III of Portugal divided the territory into the fifteen private and autonomous Captaincy Colonies of Brazil."
BRAZIL,"However, the decentralized and unorganized tendencies of the captaincy colonies proved problematic, and in 1549 the Portuguese king restructured them into the Governorate General of Brazil in the city of Salvador, which became the capital of a single and centralized Portuguese colony in South America. In the first two centuries of colonization, Indigenous and European groups lived in constant war, establishing opportunistic alliances in order to gain advantages against each other. By the mid-16th century, cane sugar had become Brazil's most important export, while slaves purchased in Sub-Saharan Africa in the slave market of Western Africa[62] (not only those from Portuguese allies of their colonies in Angola and Mozambique), had become its largest import, to cope with plantations of sugarcane, due to increasing international demand for Brazilian sugar.[65][66] Portuguese Brazil received more than 2.8 million slaves from Africa between the years of 1500 to 1800."
BRAZIL,"By the end of the 17th century, sugarcane exports began to decline and the discovery of gold by bandeirantes in the 1690s would become the new backbone of the colony's economy, fostering a Brazilian Gold Rush which attracted thousands of new settlers to Brazil from Portugal and all Portuguese colonies around the world. This increased level of immigration in turn caused some conflicts between newcomers and old settlers. Portuguese expeditions known as Bandeiras gradually expanded Brazil's original colonial frontiers in South America to its approximately current borders. In this era other European powers tried to colonize parts of Brazil, in incursions that the Portuguese had to fight, notably the French in Rio during the 1560s, in Maranhão during the 1610s, and the Dutch in Bahia and Pernambuco, during the Dutch–Portuguese War, after the end of Iberian Union. The Portuguese colonial administration in Brazil had two objectives that would ensure colonial order and the monopoly of Portugal's wealthiest and largest colony: to keep under control and eradicate all forms of slave rebellion and resistance, such as the Quilombo of Palmares, and to repress all movements for autonomy or independence, such as the Minas Conspiracy."
BRAZIL,"In late 1807, Spanish and Napoleonic forces threatened the security of continental Portugal, causing Prince Regent João, in the name of Queen Maria I, to move the royal court from Lisbon to Rio de Janeiro. There they established some of Brazil's first financial institutions, such as its local stock exchanges and its National Bank, additionally ending the Portuguese monopoly on Brazilian trade and opening Brazil to other nations. In 1809, in retaliation for being forced into exile, the Prince Regent ordered the Portuguese conquest of French Guiana. With the end of the Peninsular War in 1814, the courts of Europe demanded that Queen Maria I and Prince Regent João return to Portugal, deeming it unfit for the head of an ancient European monarchy to reside in a colony. In 1815, to justify continuing to live in Brazil, where the royal court had thrived for six years, the Crown established the United Kingdom of Portugal, Brazil and the Algarves, thus creating a pluricontinental transatlantic monarchic state.[80] However, the leadership in Portugal, resentful of the new status of its larger colony, continued to demand the return of the court to Lisbon (see Liberal Revolution of 1820). In 1821, acceding to the demands of revolutionaries who had taken the city of Porto,[81] João VI departed for Lisbon. There he swore an oath to the new constitution, leaving his son, Prince Pedro de Alcântara, as Regent of the Kingdom of Brazil."
BRAZIL,"Tensions between Portuguese and Brazilians increased and the Portuguese Cortes, guided by the new political regime imposed by the Liberal Revolution, tried to re-establish Brazil as a colony. The Brazilians refused to yield, and Prince Pedro decided to stand with them, declaring the country's independence from Portugal on 7 September 1822.[84] A month later, Prince Pedro was declared the first Emperor of Brazil, with the royal title of Dom Pedro I, resulting in the founding of the Empire of Brazil. The Brazilian War of Independence, which had already begun along this process, spread through the northern, northeastern regions and in Cisplatina province. The last Portuguese soldiers surrendered on 8 March 1824; Portugal officially recognized Brazilian independence on 29 August 1825. On 7 April 1831, worn down by years of administrative turmoil and political dissent with both liberal and conservative sides of politics, including an attempt of republican secession and unreconciled to the way that absolutists in Portugal had given in the succession of King John VI, Pedro I went to Portugal to reclaim his daughter's crown after abdicating the Brazilian throne in favor of his five-year-old son and heir (who thus became the Empire's second monarch, with the royal title of Dom Pedro II)."
BRAZIL,"As the new Emperor could not exert his constitutional powers until he came of age, a regency was set up by the National Assembly.[91] In the absence of a charismatic figure who could represent a moderate face of power, during this period a series of localized rebellions took place, such as the Cabanagem in Grão-Pará Province, the Malê Revolt in Salvador da Bahia, the Balaiada (Maranhão), the Sabinada (Bahia), and the Ragamuffin War, which began in Rio Grande do Sul and was supported by Giuseppe Garibaldi. These emerged from the dissatisfaction of the provinces with the central power, coupled with old and latent social tensions peculiar to a vast, slaveholding and newly independent nation state.[92] This period of internal political and social upheaval, which included the Praieira revolt in Pernambuco, was overcome only at the end of the 1840s, years after the end of the regency, which occurred with the premature coronation of Pedro II in 1841. During the last phase of the monarchy, internal political debate centered on the issue of slavery. The Atlantic slave trade was abandoned in 1850, as a result of the British Aberdeen Act, but only in May 1888, after a long process of internal mobilization and debate for an ethical and legal dismantling of slavery in the country, was the institution formally abolished with the approval of the Golden Law. The foreign-affairs policies of the monarchy dealt with issues with the countries of the Southern Cone with whom Brazil had borders. Long after the Cisplatine War that resulted in the independence of Uruguay,[96] Brazil won three international wars during the 58-year reign of Pedro II. These were the Platine War, the Uruguayan War and the devastating Paraguayan War, the largest war effort in Brazilian history. Although there was no desire among the majority of Brazilians to change the country's form of government,[99] on 15 November 1889, in disagreement with the majority of the Imperial Army officers, as well as with rural and financial elites (for different reasons), the monarchy was overthrown by a military coup. A few days later, the national flag was replaced with a new design that included the national motto ""Ordem e Progresso"", influenced by positivism. 15 November is now Republic Day, a national holiday."
BRAZIL,"The early republican government was nothing more than a military dictatorship, with the army dominating affairs both in Rio de Janeiro and in the states. Freedom of the press disappeared and elections were controlled by those in power.[102] Not until 1894, following an economic crisis and a military one, did civilians take power, remaining there until October 1930. If in relation to its foreign policy, the country in this first republican period maintained a relative balance characterized by a success in resolving border disputes with neighboring countries,[106] only broken by the Acre War (1899–1902) and its involvement in World War I (1914–1918), followed by a failed attempt to exert a prominent role in the League of Nations;[110] Internally, from the crisis of Encilhamento and the Armada Revolts, a prolonged cycle of financial, political and social instability began until the 1920s, keeping the country besieged by various rebellions, both civilian and military. Little by little, a cycle of general instability sparked by these crises undermined the regime to such an extent that in the wake of the murder of his running mate, the defeated opposition presidential candidate Getúlio Vargas, supported by most of the military, successfully led the Revolution of 1930. Vargas and the military were supposed to assume power temporarily, but instead closed down Congress, extinguished the Constitution, ruled with emergency powers and replaced the states' governors with his own supporters."
